2.3e9,-0.0076742987777078265-2.8712291827821403*^-22*I
2.3005e9,-0.007683511257337725-4.2345846766290024*^-21*I
2.301e9,-0.00769116886518761+9.671238526580833*^-21*I
2.3015e9,-0.007700769406665211-1.3576803630634138*^-20*I
2.302e9,-0.007711792651393553-1.3196128660999284*^-20*I
2.3025e9,-0.007720852599769734+4.28855395732118*^-21*I
2.303e9,-0.007729072735607585-6.571377545829761*^-21*I
2.3035e9,-0.007738983443177302-1.075858320205667*^-20*I
2.304e9,-0.007748299239323539-1.2749802058476046*^-21*I
2.3045e9,-0.00775968900058591+1.5611421892744318*^-20*I
2.305e9,-0.007767152198381536+2.6835967163403712*^-21*I
2.3055e9,-0.0077768299017273905+1.0789644684070839*^-21*I
2.306e9,-0.007786821485604718+3.2327270720326258*^-21*I
2.3065e9,-0.007798899339071958+7.332692550553022*^-21*I
2.307e9,-0.00780649470883433+1.5498311150519457*^-20*I
2.3075e9,-0.007816233368394272-1.2217149129087975*^-20*I
2.308e9,-0.007826589949758345+1.0782133682918589*^-20*I
2.3085e9,-0.007838707366538857-1.0384851437310215*^-20*I
2.309e9,-0.007845219281655684-6.415215750010294*^-21*I
2.3095e9,-0.007855738977310397+8.223333120261738*^-21*I
2.31e9,-0.007865894624074906+7.685252073547861*^-21*I
2.3105e9,-0.007877363348760897-2.3976170157853992*^-20*I
2.311e9,-0.007885307312210007+9.192980674057026*^-21*I
2.3115e9,-0.007895551758229785-1.580044395222548*^-20*I
2.312e9,-0.007905708360547336+2.0777375523463464*^-20*I
2.3125e9,-0.007917793462072432+7.592049833116258*^-21*I
2.313e9,-0.007925726865471041-3.911859516120182*^-21*I
2.3135e9,-0.007935915647342905-9.354719915378236*^-21*I
2.314e9,-0.007947387022392336-3.428260820026493*^-21*I
2.3145e9,-0.007957320461374637-1.838583168643072*^-20*I
2.315e9,-0.007965689441445687-9.634428927021213*^-21*I
2.3155e9,-0.00797597729680257+1.9881012009677008*^-20*I
2.316e9,-0.007988483446866841-1.8424283751161554*^-20*I
2.3165e9,-0.007999620957967352-1.7991347562140713*^-20*I
2.317e9,-0.00800748245901949-8.175905495774131*^-22*I
2.3175e9,-0.008017665292971796-9.820700222200256*^-21*I
2.318e9,-0.008030010480447457-1.8877052109096098*^-21*I
2.3185e9,-0.008040499265705506+9.315106932297837*^-21*I
2.319e9,-0.008049205811669215+1.653872466392283*^-20*I
2.3195e9,-0.008059991627925395+2.4980024136054106*^-20*I
2.32e9,-0.008072181761042912+1.2332742871894434*^-20*I
2.3205e9,-0.00808266945038623+1.4841093207954428*^-20*I
2.321e9,-0.008091824797096917+9.878053817602613*^-21*I
2.3215e9,-0.008102150537348664-7.083342160115301*^-21*I
2.322e9,-0.008114156708404496+1.057091585560447*^-20*I
2.3225e9,-0.008124191827747268+1.2491013478166488*^-20*I
2.323e9,-0.008134510237091845+8.055386387884791*^-21*I
2.3235e9,-0.008145404978543162+7.633524227280645*^-21*I
2.324e9,-0.008157338715830843-1.8555135488409393*^-20*I
2.3245e9,-0.008167727173653749+1.172512127379854*^-20*I
2.325e9,-0.00817803967447805-1.1787849571827155*^-20*I
2.3255e9,-0.008188422414664122-2.8942624365700515*^-20*I
2.326e9,-0.008201007134240473+4.858137431782428*^-21*I
2.3265e9,-0.008212026329053473+3.582353383993268*^-21*I
2.327e9,-0.008221765567426369-4.706507653184626*^-21*I
2.3275e9,-0.008232800733360386+4.323689562147888*^-21*I
2.328e9,-0.008245906354864004-3.7094956296422376*^-21*I
2.3285e9,-0.008256095108880491-5.095296504723126*^-21*I
2.329e9,-0.00826608819040766-6.406970880570054*^-21*I
2.3295e9,-0.00827786487066993+1.1736771432631582*^-20*I
2.33e9,-0.008290143526535416+6.042983950178807*^-21*I
