2.3e9,-2.729052075200335*^-7-1.466901719887402*^-20*I
2.31e9,-2.729783410436744*^-7-3.884002481118366*^-20*I
2.32e9,-2.7310913493680057*^-7+1.630084023868169*^-20*I
2.33e9,-2.732238112258444*^-7+4.127700004066206*^-20*I
2.34e9,-2.733616217656001*^-7-7.302242527840454*^-21*I
2.35e9,-2.735049281806508*^-7-1.929520202221219*^-20*I
2.36e9,-2.7362631557083416*^-7-2.1537544483087532*^-20*I
2.37e9,-2.75607111984384*^-7+6.529074551504949*^-21*I
2.38e9,-2.7678245656482246*^-7+2.6495355096143905*^-20*I
2.39e9,-2.920635004333611*^-7-2.509596288608303*^-20*I
2.4e9,-2.9197591060227826*^-7-6.81440686046373*^-20*I
2.41e9,-2.7554210973466065*^-7+6.857809754854995*^-20*I
2.42e9,-2.9432519662342616*^-7-4.192468785463614*^-20*I
2.43e9,-2.907331472141754*^-7+9.171012719157378*^-20*I
2.44e9,-2.9096015678919213*^-7-8.180350814510626*^-20*I
2.45e9,-2.8711949579492874*^-7+8.887175440093042*^-20*I
2.46e9,-2.7725018314801234*^-7-4.8114709446936306*^-20*I
2.47e9,-2.7375193657970443*^-7+2.2353073222750156*^-20*I
2.48e9,-2.794973181385455*^-7+1.128440026295646*^-19*I
2.49e9,-2.7986178174537673*^-7-3.539224319466913*^-20*I
2.5e9,-2.7991054328340355*^-7-4.1394606567255415*^-20*I
2.51e9,-2.8456301270817436*^-7+2.0140882358311684*^-19*I
2.52e9,-2.788838479257459*^-7+2.234089952901284*^-19*I
2.53e9,-2.6709292805516336*^-7-8.538826665498604*^-20*I
2.54e9,-2.657248012729251*^-7-1.495354106714058*^-19*I
2.55e9,-2.877453118129722*^-7+7.121831749399192*^-20*I
2.56e9,-2.6153141464073906*^-7+4.055229682080537*^-19*I
2.57e9,-2.610997361249475*^-7-4.438493130444939*^-19*I
2.58e9,-1.9969808470040837*^-7-8.32689811166871*^-19*I
2.59e9,-6.565368090287109*^-9-2.925358933818476*^-19*I
2.6e9,-1.893547096698509*^-7-9.134914675659333*^-19*I
2.61e9,-2.7343042402139556*^-7-1.8033594653392586*^-19*I
